User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
609.0,339950592.0,0,0,12,1871,3,1,7,0,0.0
5.0,82038784.0,0,0,4,183,3,1,1,1,0.99
98.0,184811520.0,0,0,9,2068,5,1,1,0,0.0
776.0,64505856.0,0,1,4,2729,4,1,3,0,0.0
12.0,66524160.0,1,0,12,1600,5,1,1,0,0.0
5.0,75777024.0,1,1,4,955,3,1,1,0,0.0
15.0,112738304.0,1,1,17,455,3,1,1,1,0.99
26.0,10354688.0,1,0,12,1476,4,1,1,0,0.0
5.0,76365824.0,0,1,4,538,3,1,1,0,0.0
157.0,41309184.0,1,1,4,1301,4,1,2,0,0.0
92.0,136303616.0,1,1,17,1181,3,1,1,5,3.99
31.0,37027840.0,0,1,4,2296,4,1,1,1,0.99
22.0,320883712.0,1,1,4,2209,3,1,1,6,94.99
273687.0,7774384.0,0,1,9,875,4,1,1,3,2.99
13439.0,272582656.0,1,1,9,3399,3,1,7,10,49.99
29.0,28976128.0,0,1,4,1416,5,1,1,4,19.99
9.0,10908672.0,0,1,4,1013,4,1,1,3,44.99
15.0,123336704.0,0,0,9,689,4,1,1,0,0.0
5013.0,54787072.0,0,1,9,985,4,1,1,0,0.0
527.0,124108800.0,1,1,12,1746,4,1,18,10,99.99
30.0,51088384.0,0,1,4,1271,3,1,1,0,0.0
727.0,143720448.0,0,1,12,1853,3,1,1,10,99.99
84.0,7619584.0,0,0,4,497,4,1,1,0,0.0
167.0,61834240.0,0,1,12,1828,4,1,1,1,1.99
5.0,47851520.0,1,1,4,547,3,1,2,1,2.99
26.0,51300352.0,1,1,4,105,4,1,1,5,4.99
896.0,52033536.0,0,1,17,2056,4,1,1,6,4.99
9.0,281786368.0,0,1,9,2085,3,1,1,5,2.99
8.0,11554816.0,0,1,4,1572,3,1,1,0,0.0
70.0,39342357.0,0,1,9,2262,3,1,1,9,29.99
21.0,24187904.0,0,0,4,1441,3,1,1,3,2.99
45522.0,239225856.0,1,1,12,1438,3,1,16,10,49.99
96.0,45035520.0,0,1,4,1301,4,1,2,7,9.99
2595.0,73185280.0,0,1,4,343,4,1,1,1,0.99
32.0,102079488.0,1,1,4,728,4,1,1,0,0.0
8.0,120054784.0,0,0,9,603,3,1,1,0,0.0
53.0,18829312.0,0,1,4,1937,4,1,6,6,99.99
154.0,215453696.0,0,1,4,1752,4,1,1,10,19.99
4027.0,239495168.0,1,1,12,2369,4,1,9,10,19.99
12.0,7204864.0,0,0,4,472,3,1,4,0,0.0
56.0,181748736.0,1,1,4,1234,4,1,1,0,0.0
5.0,21838848.0,0,1,4,3945,4,1,1,1,1.99
10.0,10027008.0,0,1,4,2432,4,1,1,0,0.0
67.0,12423168.0,0,0,4,1482,3,1,1,0,0.0
12.0,73135104.0,0,1,4,810,4,1,1,0,0.0
24867.0,788805632.0,1,1,4,3404,3,1,11,10,99.99
41.0,29405184.0,0,1,4,1248,3,1,1,0,0.0
14689.0,97515520.0,1,1,9,787,3,1,1,10,94.99
1485.0,102242304.0,1,1,4,345,4,1,1,0,0.0
20.0,3919185.0,0,1,9,563,3,1,1,0,0.0
164.0,101545984.0,1,1,4,415,3,1,1,4,9.99
44.0,63971328.0,0,1,12,4147,4,1,3,0,0.0
8545.0,85752832.0,1,1,12,1455,4,1,8,3,7.99
61.0,30985216.0,1,1,4,512,4,1,1,3,5.99
1915.0,150327296.0,0,1,4,664,4,1,1,2,4.99
161.0,127150080.0,0,1,9,1904,3,1,1,1,1.99
