User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
17.0,23625728.0,0,1,9,852,5,1,2,10,16.99
171.0,847825920.0,1,1,12,1321,3,1,1,0,0.0
25.0,45376512.0,0,0,4,637,3,1,1,0,0.0
1377.0,7988224.0,0,1,4,572,4,1,1,0,0.0
26.0,29778872.0,0,1,4,1490,4,1,13,1,0.99
29.0,409973760.0,0,1,4,735,4,1,1,3,9.99
52.0,722295808.0,1,1,12,2721,4,1,1,10,9.99
11.0,56207360.0,1,1,4,260,3,1,1,0,0.0
5.0,56927232.0,0,1,4,357,4,1,1,0,0.0
25.0,241014784.0,0,0,9,742,3,1,22,10,19.99
48.0,24232960.0,0,1,4,473,4,1,2,3,2.99
10.0,11534336.0,0,1,4,238,4,1,1,0,0.0
10.0,8814592.0,0,1,4,339,4,1,9,0,0.0
9.0,88414208.0,0,1,4,807,4,1,1,1,1.99
15.0,2686976.0,0,1,9,290,4,1,2,0,0.0
594.0,384600064.0,0,0,4,3336,4,1,5,0,0.0
71.0,19622912.0,1,1,4,763,6,1,1,0,0.0
1312.0,63946752.0,1,0,4,1033,4,1,1,3,1.99
20506.0,108618752.0,1,1,4,486,5,1,1,10,9.99
52.0,406603776.0,1,1,9,971,3,1,8,10,19.99
27.0,46151680.0,0,1,4,429,4,1,16,0,0.0
51.0,11571637.0,0,1,4,1085,4,1,1,0,0.0
51396.0,165965824.0,1,1,12,3796,3,1,10,10,19.99
315.0,211406848.0,1,1,12,1175,3,1,10,10,94.99
11814.0,150731776.0,0,1,12,1521,5,1,1,6,99.99
136.0,52613120.0,0,1,9,1296,3,1,1,1,2.99
6.0,39604224.0,0,0,4,857,4,1,2,4,0.99
167.0,590770176.0,1,1,12,1770,4,1,1,0,0.0
19.0,279408640.0,0,1,12,256,4,1,1,0,0.0
11.0,15013888.0,1,0,4,696,6,1,1,1,6.99
660.0,137235456.0,0,1,4,1486,3,1,1,10,99.99
105.0,43547648.0,0,1,12,1284,4,1,1,5,9.99
23.0,79748096.0,1,1,4,1884,3,1,1,1,9.99
6.0,24113152.0,0,0,4,627,3,1,1,0,0.0
11.0,37520384.0,0,0,12,1070,3,1,1,0,0.0
8.0,38666240.0,0,1,12,391,4,1,1,1,0.99
120.0,536311808.0,0,0,12,888,3,1,1,0,0.0
329.0,39547904.0,0,1,4,2040,4,1,1,0,0.0
5.0,19525632.0,0,1,4,300,3,1,1,3,3.99
245.0,172836864.0,1,1,4,1103,3,1,10,10,9.99
121.0,266885120.0,1,1,9,1596,4,1,1,10,3.99
